district,year,month,complaints,rank,source
서울전체,2022,6,4418,,서울시의회 윤영희의원 자료
서울전체,2023,6,5600,,서울시의회 윤영희의원 자료
서울전체,2024,6,9296,,서울시의회 윤영희의원 자료
서울전체,2025,6,4695,,서울시 집계 (2025.07.03 기준)
양천구,2024,6,1208,1,세계일보 2025.07.03
구로구,2024,6,1079,2,세계일보 2025.07.03
은평구,2024,6,982,3,세계일보 2025.07.03
강서구,2024,6,969,4,세계일보 2025.07.03
은평구,2023,6,2600,,나무위키 (5600건 중 46.4%)
서대문구,2023,6,800,,나무위키 추정
마포구,2023,6,615,,나무위키 추정
금천구,2025,6,698,1,서울시 집계 2025.07.03
은평구,2025,6,599,2,서울시 집계 2025.07.03
관악구,2025,6,508,3,서울시 집계 2025.07.03
강서구,2025,6,410,4,서울시 집계 2025.07.03
양천구,2025,6,298,5,서울시 집계 2025.07.03
종로구,2025,6,33,,서울시 집계 2025.07.03
용산구,2025,6,30,,서울시 집계 2025.07.03
성동구,2025,6,25,,서울시 집계 2025.07.03
강동구,2025,6,12,,서울시 집계 2025.07.03
송파구,2025,6,8,25,서울시 집계 2025.07.03
